"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20190101","2019","1","201901","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","27946186982","27681652053","27946186982","4","false","true",
"C","M","20190101","2019","1","201901","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","21913674829","21913674829","4","false","true",
"C","M","20190201","2019","2","201902","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","27871992442","27610019348","27871992442","4","false","true",
"C","M","20190201","2019","2","201902","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","20209248667","20209248667","4","false","true",
"C","M","20190301","2019","3","201903","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","31626318886","31334479076","31626318886","4","false","true",
"C","M","20190301","2019","3","201903","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","21830029323","21830029323","4","false","true",
"C","M","20190401","2019","4","201904","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","30657677059","30380977858","30657677059","4","false","true",
"C","M","20190401","2019","4","201904","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","22214851012","22214851012","4","false","true",
"C","M","20190501","2019","5","201905","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","32377526250","32092688552","32377526250","4","false","true",
"C","M","20190501","2019","5","201905","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","22448997846","22448997846","4","false","true",
"C","M","20190601","2019","6","201906","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","30763685177","30506841044","30763685177","4","false","true",
"C","M","20190601","2019","6","201906","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","20655031455","20655031455","4","false","true",
"C","M","20190701","2019","7","201907","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","30344468218","30098139924","30344468218","4","false","true",
"C","M","20190701","2019","7","201907","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","22121797089","22121797089","4","false","true",
"C","M","20190801","2019","8","201908","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","31273580583","31024967044","31273580583","4","false","true",
"C","M","20190801","2019","8","201908","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","22073672685","22073672685","4","false","true",
"C","M","20190901","2019","9","201909","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","29768716150","29514486790","29768716150","4","false","true",
"C","M","20190901","2019","9","201909","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","20633926556","20633926556","4","false","true",
"C","M","20191001","2019","10","201910","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","31333077214","31054061102","31333077214","4","false","true",
"C","M","20191001","2019","10","201910","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","22295928445","22295928445","4","false","true",
"C","M","20191101","2019","11","201911","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","29465600251","29197369813","29465600251","4","false","true",
"C","M","20191101","2019","11","201911","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","20906407391","20906407391","4","false","true",
"C","M","20191201","2019","12","201912","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","27892108212","27619184473","27892108212","4","false","true",
"C","M","20191201","2019","12","201912","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","19067521199","19067521199","4","false","true",
